Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a2038e4ce6a91b741ab4c970619d89c7a90168bee2e1f656ad9fc0c01caef4ba,2020-12,Gwent Police,Gwent Police,-2.989984,51.581773,On or near RUPERRA STREET,W01001661,Newport 018C,Investigation complete; no suspect identified
ad35c1ff8760d7f6daa9fdc8e4d2caf9fb3b321048697af14a162949f3a51040,2020-12,Gwent Police,Gwent Police,-2.990635,51.575222,On or near BALDWIN STREET,W01001659,Newport 018A,Investigation complete; no suspect identified
549d7cfcdbdbc5bf4d516ca58f6f1275e827664dafd70179c9da713fbd07f73a,2020-12,Gwent Police,Gwent Police,-2.995998,51.586227,On or near SCHOOL LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
14120deb95da2265c926836fc0b4c5874a8df0a478d0060bb3e83f023dcf82e7,2020-12,Gwent Police,Gwent Police,-3.028490,51.816615,On or near Supermarket,W01001564,Monmouthshire 003D,Investigation complete; no suspect identified
de55d5add266c52e16dcbda099179ff902b8344fb92047df8fe09470b5606dab,2020-12,Gwent Police,Gwent Police,-3.069973,51.821136,On or near Sports/Recreation Area,W01001569,Monmouthshire 003E,Investigation complete; no suspect identified
af739dd8e9b502a98e59fac2b6e3b660654f1fa6066e6e568478d3e77f6d88dd,2020-12,Gwent Police,Gwent Police,-3.021306,51.650129,On or near WENTLOOG CLOSE,W01001506,Torfaen 010A,Investigation complete; no suspect identified
e2888ae6c3b13dd52fc11a4a83ae140b53503a7f9f57b3eca211c6b1848c62c2,2020-12,Gwent Police,Gwent Police,-3.241495,51.593724,On or near HEOL CWARREL CLARK,W01001397,Caerphilly 019E,Investigation complete; no suspect identified
84b4119d9de7c863aed9580b2e4713b3a4934006bc83823c0958579520c59ad9,2020-12,Gwent Police,Gwent Police,-3.001687,51.605322,On or near BRYNGLAS COURT,W01001682,Newport 006C,Investigation complete; no suspect identified
6bb00d22ada9bbce70fe326a903db9df29bbb36fbfa4f725580cff168fefa350,2020-12,Gwent Police,Gwent Police,-2.741555,51.608989,On or near OLD SHIRENEWTON ROAD,W01001542,Monmouthshire 009A,Investigation complete; no suspect identified
acc749fabb4013a7770bebec16a6deba5cdf75e9f7cb67335f9de8e99f1c5d47,2020-12,Gwent Police,Gwent Police,-3.010409,51.835860,On or near DAN-Y-DERI,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
