Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0ab8decf7524365518452f3502f380da6f7948494a2c576d0b9ff1fb770e661,2021-01,Gwent Police,Gwent Police,-3.043062,51.650225,On or near Pedestrian Subway,W01001503,Torfaen 009B,Investigation complete; no suspect identified
4b890fbe664f568b976ff51969bae38a2031802374f3f34abc3854b70037837f,2021-01,Gwent Police,Gwent Police,-3.210270,51.676261,On or near BEDWELLTY ROAD,W01001352,Caerphilly 007A,Investigation complete; no suspect identified
10006cc1585d27fb7234d147ce6d37e1ca1782adae83f7e7e81d35cc2b67d264,2021-01,Gwent Police,Gwent Police,-3.050415,51.578146,On or near HIGHFIELD ROAD,W01001637,Newport 016B,Investigation complete; no suspect identified
58698d9fb8dd617a7ea1ab9fe989edf1217de5c70be4fcac15091e01d41b8ada,2021-01,Gwent Police,Gwent Police,-3.207327,51.780342,On or near MARKET STREET,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
2aa9856fc0f95d1b81141b94241c97bed2526dc32244826633af093efe73dd3f,2021-01,Gwent Police,Gwent Police,-3.005989,51.613755,On or near MALPAS ROAD,W01001655,Newport 002E,Investigation complete; no suspect identified
3d479d284249fa29de4d8efd5b4b5cadedcbdd46f4d5a1b189664cbbc8e0b884,2021-01,Gwent Police,Gwent Police,-3.005815,51.592842,On or near COMFREY CLOSE,W01001601,Newport 006A,Investigation complete; no suspect identified
01528f67f1b1f006f8f8e4c8e337f8c027965a2203515dcd867b965e796c5185,2021-01,Gwent Police,Gwent Police,-3.037712,51.648906,On or near ELAN WALK,W01001526,Torfaen 010B,Investigation complete; no suspect identified
7367a7cd7142cf858c91a707cbe26cc6dcb7bf6b7822a4fc127e42d55754ace7,2021-01,Gwent Police,Gwent Police,-3.194860,51.669954,On or near Supermarket,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
5e3abf9a4ce7cded59e5a3e1fe75ad924b11d4070f13bc3791f037f5791117f2,2021-01,Gwent Police,Gwent Police,-3.017648,51.822176,On or near Theatre/Concert Hall,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
1cee2753d4838513371c5e4f9e1febeb446f9fcda4d71882fbca5653cdefb640,2021-01,Gwent Police,Gwent Police,-2.852682,51.764712,On or near HIGH STREET,W01001581,Monmouthshire 005E,Investigation complete; no suspect identified
1ebbc5a6bb6ae5a3331403f4a542505183e017cef8b540a492e8ad3a47615af8,2021-01,Gwent Police,Gwent Police,-2.719044,51.810787,On or near Supermarket,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
bf94f8d3e6a9a4b95042b2435e466431852104a187ff150f5e3d78fe811b0361,2021-01,Gwent Police,Gwent Police,-3.234383,51.655671,On or near DERWENDEG AVENUE,W01001363,Caerphilly 012A,Investigation complete; no suspect identified
7f433a6cee5debd6f5772ef8e29bc7ae3b5bc0eee34f2302308b0ced139f6002,2021-01,Gwent Police,Gwent Police,-2.674753,51.642175,On or near BEAUFORT SQUARE,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
bead7c44930b0c1970c6a995a151f7592bb6b36090516bb00f0069a2b6acf782,2021-01,Gwent Police,Gwent Police,-3.282283,51.748015,On or near CHAPEL STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
aba4dcf683f1bb7e946842974bb64b340cc5bb84b293e86bde117b97d1d8a6a5,2021-01,Gwent Police,Gwent Police,-3.174165,51.793895,On or near BARLEY FIELD ROAD,W01001448,Blaenau Gwent 002C,Investigation complete; no suspect identified
a0c7b42a8884cfe719af2bae4920e81064ca077d3fae5a8a3ed9f3406c1695c3,2021-01,Gwent Police,Gwent Police,-3.013517,51.663819,On or near GLASLYN COURT,W01001493,Torfaen 008A,Investigation complete; no suspect identified
aa3baabb666be846998ed493a5133d66fa0a1fa4b92127a8549f12e3fc577da5,2021-01,Gwent Police,Gwent Police,-3.006814,51.651027,On or near TENBY CLOSE,W01001507,Torfaen 008D,Investigation complete; no suspect identified
71fa4adef99730d92924d542b57e624a0949c4aaf69a759629c439f3bfe26781,2021-01,Gwent Police,Gwent Police,-2.749876,51.591628,On or near Police Station,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
42509ef72595b3297bec7b7920b1c700eb8dbbb3085bbcd112b6701460659660,2021-01,Gwent Police,Gwent Police,-3.081027,51.771357,On or near TON-MAWR AVENUE,W01001490,Torfaen 001D,Investigation complete; no suspect identified
