Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
92bafa2d09836232ab1bd0df5fc5e8395910202c44140900f1ba26bd1e0345e6,2020-05,Gwent Police,Gwent Police,-3.004018,51.569632,On or near GREENWICH ROAD,W01001660,Newport 018B,Investigation complete; no suspect identified
7efb46520e94cdc99b2243424f16877af576e2c32219e8da341defb85fab20c0,2020-05,Gwent Police,Gwent Police,-3.245539,51.771383,On or near THE CIRCLE,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
9e9d45992681fab3d57d34e55638b93643739c9349028409d36d2e81353affe7,2020-05,Gwent Police,Gwent Police,-3.057450,51.586517,On or near Parking Area,W01001672,Newport 009C,Investigation complete; no suspect identified
a38419b8a8038e25285e06eb83eb7112cfab4809031f33f4e91f0b87fc32186e,2020-05,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
82b08dfe90a4ae1507f794133e46c0ba8b4237bc8e96b3edfea32136d2d49fc3,2020-05,Gwent Police,Gwent Police,-2.988447,51.576814,On or near TEMPLE STREET,W01001659,Newport 018A,Investigation complete; no suspect identified
d5a7258bddf944f3507c9154fccda0b456799c17e81634a2749ad1f076c34f94,2020-05,Gwent Police,Gwent Police,-3.239112,51.638780,On or near TRINITY CLOSE,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
082bdd526dbf47df6e539c34d1555fc100f35dca1835500d9789573737156dc2,2020-05,Gwent Police,Gwent Police,-3.149455,51.743662,On or near ARAEL VIEW,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
1e4d6d1f8e39781400511a7f5b2699c491eec36956b046b4b8bb0aa323f0bc0f,2020-05,Gwent Police,Gwent Police,-2.984294,51.588295,On or near RUGBY ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
6fb8402d9c6bca6e9704e2fa686e798e45faf5753c1793351e098566f43a355d,2020-05,Gwent Police,Gwent Police,-3.161761,51.780711,On or near VERWEY ROAD,W01001469,Blaenau Gwent 005F,Investigation complete; no suspect identified
be0b3130443d4865ad19f1df539e1f9ad9292ceeccc9c923df0ba295005bce36,2020-05,Gwent Police,Gwent Police,-2.994307,51.570902,On or near Sports/Recreation Area,W01001660,Newport 018B,Investigation complete; no suspect identified
66dd81d410036a9658ee878ff2d1c103d192f4665541e8be7d13101bf33dc2c5,2020-05,Gwent Police,Gwent Police,-3.208097,51.663084,On or near WESTGIL PEN FFORDD,W01001353,Caerphilly 007B,Investigation complete; no suspect identified
4deaa393953c6dd3d520ca9b85456b94a296102765fca61cfe42a82144c92c02,2020-05,Gwent Police,Gwent Police,-3.023252,51.652459,On or near Shopping Area,W01001506,Torfaen 010A,Investigation complete; no suspect identified
dc9769deb5debd429f17f53b59c7330d8570a99c55c68b05db0e7490f74ca84c,2020-05,Gwent Police,Gwent Police,-2.679037,51.634850,On or near LARKHILL CLOSE,W01001559,Monmouthshire 008A,Investigation complete; no suspect identified
305600198475fa89d7b5fba4c525703e50a21271f89a3528dcfd1bf68f0e0c78,2020-05,Gwent Police,Gwent Police,-2.997443,51.588274,On or near Supermarket,W01001685,Newport 014B,Investigation complete; no suspect identified
ad17b2b0d7adcb6d82d0ab635e9809f74d2d9d815a6c2369f753d10e10ffa960,2020-05,Gwent Police,Gwent Police,-3.282783,51.746723,On or near MOUNT STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
46e9afb01bcdd1941708e2db1a305dbd0210f0e8b150797d065702891154ab45,2020-05,Gwent Police,Gwent Police,-3.282783,51.746723,On or near MOUNT STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
d52e8b698138cfa4ccff735fbf5acae0cebf3549a221bc8cb7fa38ea4fdfa531,2020-05,Gwent Police,Gwent Police,-3.206438,51.704588,On or near BRYN ROAD,W01001334,Caerphilly 005A,Investigation complete; no suspect identified
72c7a2ddc304684ca74afc21b4bd125f2f2cce0caa9fac0bef3e1a0afa057814,2020-05,Gwent Police,Gwent Police,-3.206547,51.583496,On or near DOL YR EOS,W01001421,Caerphilly 022E,Investigation complete; no suspect identified
1ada534d8ea1bed2f018408ee5a80b390ab4461df9f6d6ad86e287453fbe1405,2020-05,Gwent Police,Gwent Police,-2.717288,51.811633,On or near NAILER'S LANE,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
