Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5231961edd4efa0c70b8d9c9fee47ef2cd3912857d26230a58fc7b61e2c03679,2021-02,Gwent Police,Gwent Police,-3.231199,51.603795,On or near OAK TERRACE,W01001367,Caerphilly 019B,Unable to prosecute suspect
061304c946f755b6abb9c3d03c85406881435f1d53d2237c80feb0811737d3da,2021-02,Gwent Police,Gwent Police,-3.235838,51.717608,On or near CROSS STREET,W01001384,Caerphilly 002C,Unable to prosecute suspect
f6d887dce4162710def7dc9a6c52f7b23241f1a4506a7f39593c858110b68193,2021-02,Gwent Police,Gwent Police,-3.012599,51.560999,On or near HERON WAY,W01001688,Newport 019C,Unable to prosecute suspect
5a1760cadcf145b63cbca1722eeddcb9fa7f7698cac71c224cb178376feeb3be,2021-02,Gwent Police,Gwent Police,-3.248181,51.776292,On or near GELLI ROAD,W01001481,Blaenau Gwent 006E,Unable to prosecute suspect
6b4d4fa7d55b090edf55456f12ac725cace09282e07a042083982791d35c23bd,2021-02,Gwent Police,Gwent Police,-3.192572,51.753464,On or near PARK PLACE,W01001452,Blaenau Gwent 007C,Unable to prosecute suspect
2089aa33b934fb7a51f68b4e1bae408bc4e65b9b511743d520bf1c5c3bce8d21,2021-02,Gwent Police,Gwent Police,-3.175325,51.798919,On or near BEAUFORT STREET,W01001448,Blaenau Gwent 002C,Unable to prosecute suspect
cc06cf45db10d4e82c97be64c6307c77f53b836f68bcde91d43e2c24dafaef95,2021-02,Gwent Police,Gwent Police,-3.234383,51.655671,On or near DERWENDEG AVENUE,W01001363,Caerphilly 012A,Unable to prosecute suspect
611fb73e1bc7f05ee8c544f32562e6cb26a95e9a6a44e8d31676e6a48a37a985,2021-02,Gwent Police,Gwent Police,-3.245139,51.778464,On or near CHURCH STREET,W01001481,Blaenau Gwent 006E,Unable to prosecute suspect
425c0e0e36504ada438fdb6f0966f0add471c6b65ebca685024c258f8217c74a,2021-02,Gwent Police,Gwent Police,-3.221098,51.572268,On or near CLIVE STREET,W01001424,Caerphilly 024C,Unable to prosecute suspect
d16882e567ae273db441bf73a9a851909b374a4a7b3e4f4d5eeb5726519ec06c,2021-02,Gwent Police,Gwent Police,-3.234308,51.689615,On or near BALDWIN STREET,W01001338,Caerphilly 004C,Unable to prosecute suspect
91b5ad98ce6300d4f8bcf203e5df834642cdcdcbbac8ab077b01c8520acc6bcf,2021-02,Gwent Police,Gwent Police,-3.165328,51.596555,On or near Sports/Recreation Area,W01001346,Caerphilly 020D,Unable to prosecute suspect
c440676a1276bd7a822fd188137d44ec93cb669a90e14bde3a32ae0bb7a07fb4,2021-02,Gwent Police,Gwent Police,-2.674572,51.642635,On or near HOCKER HILL STREET,W01001587,Monmouthshire 008C,Unable to prosecute suspect
ea18d1631cc9296e3d606dab46249d7fcb3118020cf19f74b059b755f88b6f49,2021-02,Gwent Police,Gwent Police,-3.049820,51.651226,On or near BEDDICK,W01001502,Torfaen 011E,Unable to prosecute suspect
c370ee53b2a2eb54c808be6d1d9fdf787f50891c5fb49be9b70f37763d6682d4,2021-02,Gwent Police,Gwent Police,-3.049820,51.651226,On or near BEDDICK,W01001502,Torfaen 011E,Unable to prosecute suspect
14442695e6cbb8ceaba26c2e287cde7ba06f1852d3b51f25bfb8e6f4f37e9a7a,2021-02,Gwent Police,Gwent Police,-3.026143,51.612142,On or near BROOKSIDE,W01001622,Newport 003F,Unable to prosecute suspect
428918c27f2d9f225732fa0ee088a623673d6426d6289f12ff4458c4ad698223,2021-02,Gwent Police,Gwent Police,-3.171805,51.798532,On or near FACTORY ROAD,W01001446,Blaenau Gwent 002A,Unable to prosecute suspect
976610a507b3b207767a04f5a25379d042d43dac74b4629494a0f5226ac78c02,2021-02,Gwent Police,Gwent Police,-3.238972,51.591197,On or near HEOL-Y-GOGLEDD,W01001400,Caerphilly 019F,Unable to prosecute suspect
5c23f7cc2e0fa77de062c3313da453d4b5ede016e258c6ca0c6caffd96c0b06d,2021-02,Gwent Police,Gwent Police,-2.980554,51.578858,On or near ALICIA CLOSE,W01001661,Newport 018C,Unable to prosecute suspect
aee48f64a3d47299ca28031be0bee9710ead6d56a70d00f757daf05260c01281,2021-02,Gwent Police,Gwent Police,-2.976051,51.584920,On or near WALSALL STREET,W01001644,Newport 013C,Suspect charged
b640cb8d643ebee5a0dcc2f80145b9dc52557bfb8f7489d3c67d08b3511b7a2e,2021-02,Gwent Police,Gwent Police,-3.223553,51.613155,On or near Sports/Recreation Area,W01001366,Caerphilly 019A,Offender given a caution
54131857907d97a5848b3abc1239b19b01262d27eed849abc15fc19856616c3a,2021-02,Gwent Police,Gwent Police,-3.281665,51.747680,On or near WINE STREET,W01001406,Caerphilly 001D,Unable to prosecute suspect
5134d9bf49fb361a5ed7de4800be57385d7f6effeed1d86b1a1481c882b218c5,2021-02,Gwent Police,Gwent Police,-3.227697,51.583708,On or near CEIRIOG DRIVE,W01001371,Caerphilly 022A,Unable to prosecute suspect
cb16a5cf0f45c504d0b6ef0f55e433f86c7f7ceffa1e5fea0d6c8817f693c354,2021-02,Gwent Police,Gwent Police,-3.133588,51.728935,On or near HILL STREET,W01001436,Blaenau Gwent 008B,Unable to prosecute suspect
18cbc390f7e81ce1f5b768fd27b38c58fd87ecab8bf6f93b2fa8c130bea776f6,2021-02,Gwent Police,Gwent Police,-3.008817,51.832151,On or near ST GEORGE'S CRESCENT,W01001909,Monmouthshire 002F,Suspect charged
d8f5f221e45722a25dd3ef3bd8bbf1d670f4bb6c4c96b9c543ec406c50cca816,2021-02,Gwent Police,Gwent Police,-2.994168,51.600225,On or near ALBANY STREET,W01001683,Newport 006D,Suspect charged
86fba761fcda2c52c2bf84ec59106550bf53e1e427e8414a62f796ff98bf25c2,2021-02,Gwent Police,Gwent Police,-3.241426,51.645706,On or near HEATHLANDS,W01001432,Caerphilly 013D,Unable to prosecute suspect
5e75001b9b933a5d916b575ed7b11c0a1cd6eda132bb1a30e09ea0598b6cd933,2021-02,Gwent Police,Gwent Police,-2.999228,51.873593,On or near PENYCLAWDD LANE,W01001548,Monmouthshire 001B,Unable to prosecute suspect
8bdc87121f0de55f5f2973c0cf0cde6246aedf44e53d508e666ba89f1348e40c,2021-02,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Offender given a caution
20eb74cfeaf889f242c4014b2e0cf6a6897860880d1a687974e02d7760f355ca,2021-02,Gwent Police,Gwent Police,-2.677139,51.640354,On or near Police Station,W01001587,Monmouthshire 008C,Suspect charged
c10c0822a9f0843919839c06666393e7a642ae0a6f8ec51010ab0c2c9ef0c16b,2021-02,Gwent Police,Gwent Police,-3.063236,51.533836,On or near CAMBRIAN DRIVE,W01001658,Newport 020D,Unable to prosecute suspect
88907d4a3f1fab47bc123d33c16dd267a9936bcca5d6cba6f7da67312a8c6b13,2021-02,Gwent Police,Gwent Police,-3.274836,51.752088,On or near BROOKFIELD AVENUE,W01001376,Caerphilly 001C,Local resolution
845e6803f51cbb23b5421cd9830f86ca5f3b4e73ae1719e54c37a88410d2ec12,2021-02,Gwent Police,Gwent Police,-3.274836,51.752088,On or near BROOKFIELD AVENUE,W01001376,Caerphilly 001C,Local resolution
88467cb23073de1127fa9b6df7bde1e9872f678d12d36102c33f4f3b77d8c77e,2021-02,Gwent Police,Gwent Police,-3.016575,51.565271,On or near SANDY LANE,W01001688,Newport 019C,Unable to prosecute suspect
c5f334fc5c3bcdb99a660007ab345f484e5e0bb7e895c573a1d981ea7dda6bc4,2021-02,Gwent Police,Gwent Police,-2.990404,51.584539,On or near CAROLINE STREET,W01001687,Newport 014D,Unable to prosecute suspect
675ec0b62ebf62758e25e7b408cea5a1b22d32802d61d648a11f7be71751f2ad,2021-02,Gwent Police,Gwent Police,-3.221098,51.572268,On or near CLIVE STREET,W01001424,Caerphilly 024C,Unable to prosecute suspect
d0ec60ceda36dfcbd905c1059156d37f8b4cc48e61a0db4eda61e9b62c2adfac,2021-02,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Suspect charged
2bfe883f285a44e72097f0ebed4d05539b8eb9305d9902b9da88024939cc4b67,2021-02,Gwent Police,Gwent Police,-3.181603,51.738946,On or near AUBREY TERRACE,W01001451,Blaenau Gwent 007B,Suspect charged
ccffeb0ae1dc63401a907002dd18d0a679da61aebcd680ca9c20f79677e791bb,2021-02,Gwent Police,Gwent Police,-3.206049,51.579940,On or near Pedestrian Subway,W01001421,Caerphilly 022E,Unable to prosecute suspect
392f63b2445418d2847e4259edd5db2a29b45cbfcfc75cee0b6d437eeb1dc63a,2021-02,Gwent Police,Gwent Police,-3.222606,51.777648,On or near HEOL-YR-YSGOL,W01001457,Blaenau Gwent 004D,Local resolution
4e31308c4e27d74ee8e6b9f826aa0ff6b4a704c5c331fd6fe98cf743cb98a9e8,2021-02,Gwent Police,Gwent Police,-3.216617,51.583329,On or near SMALL MEADOW COURT,W01001373,Caerphilly 022C,Suspect charged
32de14e3f07498dbf8d0a78ba80570aab5f931572d1e7beb17510bbd6e677640,2021-02,Gwent Police,Gwent Police,-3.250332,51.659989,On or near GREENHILL CLOSE,W01001418,Caerphilly 008E,Unable to prosecute suspect
f43f4bc4c4e90733976a34d31b41e3fd53969f528b1c9bc1140014e1833a1251,2021-02,Gwent Police,Gwent Police,-3.092889,51.611881,On or near FAIRVIEW AVENUE,W01001409,Caerphilly 016C,Unable to prosecute suspect
40cd30f87c1391cb4aa6a079a220c038540a608c25e5f8a83d13b303fce3bd0d,2021-02,Gwent Police,Gwent Police,-3.140240,51.732620,On or near Parking Area,W01001453,Blaenau Gwent 008D,Unable to prosecute suspect
a1ee72c6a5990e080bb79c2d14cdee102d17f6342ba3a36aefd434bf2f30f86c,2021-02,Gwent Police,Gwent Police,-3.032959,51.642636,On or near THE CIRCLE,W01001532,Torfaen 010E,Unable to prosecute suspect
