Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
59c14b081695a8c128586faccf9b4ed4a5a475af4e946d020757dc47e882ad5c,2020-06,Gwent Police,Gwent Police,-3.004018,51.569632,On or near GREENWICH ROAD,W01001660,Newport 018B,Investigation complete; no suspect identified
b6973015c07897621713fc4b4cde2f79f4ad0e2dd95247fe584b4b1bcf562245,2020-06,Gwent Police,Gwent Police,-3.048949,51.662330,On or near TY-COED,W01001538,Torfaen 009D,Investigation complete; no suspect identified
e6f67120e82749df97997ef549eea850260e9118d828c2a29a3ece2d34a7a862,2020-06,Gwent Police,Gwent Police,-3.033722,51.613928,On or near MEDWAY COURT,W01001621,Newport 003E,Investigation complete; no suspect identified
5f7d8d83dc13a99d9a387c20dfb95c76647a6892490ffa02eb80def24aa03c55,2020-06,Gwent Police,Gwent Police,-3.229210,51.683510,On or near CARDIFF ROAD,W01001362,Caerphilly 003C,Investigation complete; no suspect identified
024628745f8fdb98a2d8091f377a0c7b00f9c6713d71fbecc1a4f3b21ec37038,2020-06,Gwent Police,Gwent Police,-3.054149,51.655854,On or near MONNOW COURT,W01001501,Torfaen 009A,Investigation complete; no suspect identified
12252d3f79d207a22e8093440c41e0a51982767a59e44d5d2fe27f185cf10292,2020-06,Gwent Police,Gwent Police,-3.020809,51.652453,On or near Pedestrian Subway,W01001506,Torfaen 010A,Investigation complete; no suspect identified
4befb6c2cb532244c09a4c72924e986387218e3a54d3b791d7f807e4f23713a9,2020-06,Gwent Police,Gwent Police,-2.930742,51.588993,On or near DIBDIN CLOSE,W01001666,Newport 010B,Investigation complete; no suspect identified
90c7bd4fa95dccbc55143195e021714de09359ddc8fca60337f819893822a6cd,2020-06,Gwent Police,Gwent Police,-3.020105,51.655876,On or near PLAS CRAIG,W01001519,Torfaen 007A,Investigation complete; no suspect identified
2195b4a87ad5bd9f2ac24b34c602c2011a02d7442c54705655e66c91253fc163,2020-06,Gwent Police,Gwent Police,-3.234387,51.766897,On or near FIELDS ROAD,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
64ad0834b2f65728cfa0ca4c47fafe578d68388fd67f58d62940bbd30e65027c,2020-06,Gwent Police,Gwent Police,-3.164582,51.805230,On or near Sports/Recreation Area,W01001446,Blaenau Gwent 002A,Investigation complete; no suspect identified
7e4139c7d1ce44883422726ddca45e9be81755f87a2d0982b5e5cf538eb761c3,2020-06,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
8b8e5b63ed6b7aed58abe1273d6584569f8dc7aa35b58222ea0ad919f43a5229,2020-06,Gwent Police,Gwent Police,-2.724114,51.812194,On or near WATERY LANE,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
8bce75efb1885283d0629e575c82d3e8da465f6489e471b375337776ce57f650,2020-06,Gwent Police,Gwent Police,-2.990190,51.591276,On or near EAST USK ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
3652ad19ae8ad129b7db5f1e390bd41fdc4c55934fcd1640b43fd2104ebd7f6b,2020-06,Gwent Police,Gwent Police,-2.974438,51.583720,On or near HANDSWORTH STREET,W01001644,Newport 013C,Investigation complete; no suspect identified
818de943c6d1b2d26e031d3bb18514e0859c3e7029ead6f3b3b84fd6a8f4c5fa,2020-06,Gwent Police,Gwent Police,-3.193569,51.682457,On or near MAESRUDDUD LANE,W01001351,Caerphilly 005D,Investigation complete; no suspect identified
20578ec4b532e7d40921f1fda9ad6abc21132be357efea7cd952b5b901c7e921,2020-06,Gwent Police,Gwent Police,-3.193569,51.682457,On or near MAESRUDDUD LANE,W01001351,Caerphilly 005D,Investigation complete; no suspect identified
9534857f48c12f389fb6344f1395520ef6520eb505bef5c85f91dc91aaa8c516,2020-06,Gwent Police,Gwent Police,-2.970656,51.590459,On or near ROSENDALE COURT,W01001612,Newport 011B,Investigation complete; no suspect identified
